token,count
ITTSYLVANIA NOW HENRY,2
HENRY,2
IN CUMBERLAND,2
EACH IN IS OF WIGHT,2
ACRE IN IS OF WIGHT,2
THEN IN AUGUSTA,2
ACS GREENBRIER,2
ACS ROCKINGHAM,2
ACS IN LUNENBURG,2
OLN FORMERLY KENTUCKY,2
ATOR FOR SPOTSYLVANIA,2
IN DINWIDDIE,2
IN SOUTHAMPTON,2
ACS IN FLUVANNA,2
ACS IN LINCOLN,2
NL IN GOOCHLAND,1
CARLISLE OF PR GEO,1
GER RANEY OF PR GEO,1
D BURCHET OF PR GEO,1
SIMON MURPHY OF SURRY,1
SUTAR OF IS OF WIGHT,1
R WILLIAMS OF HANOVER,1
ANDERSON OF PR GEO,1
ARD SMITH OF PR GEO,1
RD BUTLER OF PR GEO,1
ACS OL IN GOOCHLAND,1
OL IN GOOCHLAND,1
ILLIAM SMITH OF SURRY,1
JOHN BOLLING OF HENRI,1
AM LISLES OF PR GEO,1
ILLIAM HAYES OF HENRI,1
SHUA SMITH OF HANOVER,1
HN BLALOCK OF HANOVER,1
AR OF ST GEO IN SD,1
OF ESSEX,1
TUM JUNR OF PR GEO,1
OHN ADAMS OF PR GEO,1
AS RAYNES OF PR GEO,1
ST MARK IN SPOTSYL,1
LIAM HATCHER OF HENRI,1
LETON OF IS OF WIGHT,1
NES JUNR OF PR GEO,1
ARRIS OF IS OF WIGHT,1
RUTHERFORD OF HANOVER,1
PER NL IN CAROLINE,1
EL JORDAN OF PR GEO,1
ES CURTIS OF SPOTSYL,1
HN FOSTER OF SPOTSYL,1
AYLOR OF IS OF WIGHT,1
ES CLARKE OF PR GEO,1
EL DESIGNE OF HANOVER,1
NL IN PR,1
S CHISWELL OF HANOVER,1
ACS NL GOOCHLAND,1
ACS NL HENRICO,1
ARDEN OF IS OF WIGHT,1
OHN DOWELL OF HANOVER,1
S LAPSED L IN SURRY,1
EWIS BURWELL OF JAMES,1
T ANDERSON OF HANOVER,1
HN MATLOCK OF HANOVER,1
RGARETS PAR CAROLINE,1
CS LAPSED L HANOVER,1
LIAM SIMMONS OF SURRY,1
EL HOLLAND OF HANOVER,1
WHITE OF IS OF WIGHT,1
NCE JUNR OF PR GEO,1
LOCK JUNR OF HANOVER,1
PHILLIPS OF SPOTSYL,1
ACS NL OL GOOCHLAND,1
HN LOVITT OF PR GEO,1
THAN MOTE OF PR GEO,1
NIEL STEWART OF HENRI,1
THOMAS SCOTT OF NORF,1
ZER ADAMS OF NEW KENT,1
OHN WALL OF BRUNSWICK,1
OMAS GRANT OF HANOVER,1
EDWARDS OF BRUNSWICK,1
S POWELL OF BRUNSWICK,1
S DICKSON OF PR GEO,1
IAM TOWNS OF NEW KENT,1
M CHAMBERS OF HANOVER,1
HN RAGLAND OF HANOVER,1
AMIN BROWN OF HANOVER,1
AM WINKFIELD OF SURRY,1
HARRALSON OF HANOVER,1
ACS NL IN WARWICK,1
N ANDERSON OF K  Q,1
MARSHLAND IN PR ANN,1
AS PROSSER OF HANOVER,1
WOODROOF OF CAROLINE,1
S PISTOLE OF PR GEO,1
HUA HAWKS OF PR GEO,1
HUGH MORRIS OF HENRI,1
M PARSONS OF PR GEO,1
N SIMPSON OF PR GEO,1
ROBERTSON OF PR GEO,1
MARKS PAR SPOYTYL,1
LASS JUNR OF HANOVER,1
D MITCHEL OF PR GEO,1
CIS EPPES OF PR GEO,1
HENDERSON OF HANOVER,1
JOHN GIBBS OF HENRICO,1
AMIN ALSUP OF HANOVER,1
JOHN RICE OF HANOVER,1
ERT GIBSON OF HANOVER,1
KERBY OF IS OF WIGHT,1
L WILLIAMS OF HANOVER,1
PETER GREEN OF SURRY,1
JOHN SIMMONS OF SURRY,1
LD JEFFERSON OF HENRI,1
HAM JONES OF PR GEO,1
OF ST MARK SPOTSYL,1
KIMBROUGH OF HANOVER,1
AZMAN OF IS OF WIGHT,1
M LEE OF IS OF WIGHT,1
BROWN OF IS OF WIGHT,1
NETHERLAND OF HANOVER,1
DWARDS JUNR OF SURRY,1
VICK OF IS OF WIGHT,1
LLERS OF IS OF WIGHT,1
ILLIAM SAWRY OF SURRY,1
LIAM BURGISS OF SURRY,1
HOLT OF IS OF WIGHT,1
JAMES CANE OF SURRY,1
ARD BLAND OF PR GEO,1
AUL SEARS OF PR GEO,1
ED L IN IS OF WIGHT,1
GEORGE WYCHE OF SURRY,1
LLIAM BRIGGS OF SURRY,1
LIAM BRADLEY OF SURRY,1
APSED L IN BRUNSWICK,1
THOMAS JONES OF SURRY,1
WILLIAMSON OF HANOVER,1
JOHN TOWNS OF HENRICO,1
IAM GREEN OF PR GEO,1
BASS OF IS OF WIGHT,1
ANIEL MALONE OF SURRY,1
JOHN STOKES OF SURRY,1
RGE MARTIN OF K  Q,1
PERKINSON OF HENRICO,1
HEW SMART OF PR GEO,1
EPH RIVES OF PR GEO,1
ROBERSON OF PR GEO,1
JUNIOR OF BRUNSWICK,1
L HARWELL OF PR GEO,1
IRACK OF IS OF WIGHT,1
IFORD OF IS OF WIGHT,1
RD BULLOCK OF HANOVER,1
LIAM ROWLETT OF HENRI,1
A NL IN GOOCHLAND,1
N WESTOVER PAR CHAS,1
RY STITH OF BRUNSWICK,1
RICHARD PATE OF YORK,1
EMAN SENR OF K  Q,1
SWAMP L IN PR ANNE,1
JUNR OF BRUNSWICK,1
D MCCOLLO OF PR GEO,1
OMAS WEBSTER OF HENRI,1
N LEONARD OF PR GEO,1
OWELL OF IS OF WIGHT,1
BERT WALLACE OF SURRY,1
ARTER OF IS OF WIGHT,1
PHEN BEASLEY OF HENRI,1
RICHARD HAY OF SURRY,1
PITTILLO OF PR GEO,1
IAM JONES OF PR GEO,1
CHARD KENNON OF HENRI,1
D MASSEY OF BRUNSWICK,1
HOMAS RICE OF HANOVER,1
ID LISLES OF PR GEO,1
LIAM VAUGHAN OF SURRY,1
ER PALMER OF SPOTSYL,1
HOMAS BOTTOM OF HENRI,1
IAM FUQUA OF PR GEO,1
PH ECHOLS OF CAROLINE,1
WIS GREEN OF PR GEO,1
N HUBBARD OF PR GEO,1
GEORGE RIVES OF SURRY,1
L HAMLIN OF GOOCHLAND,1
MAS REECE OF PR GEO,1
GE SCOGIN OF PR GEO,1
OMAS MORETON OF HENRI,1
S WILLIAMS OF PR GEO,1
AS PARTRIDGE OF SURRY,1
ETTYPOOLE OF PR GEO,1
RIGHT OF IS OF WIGHT,1
IAM ANGLIN OF HANOVER,1
FRANKLYN OF SPOTSYL,1
MARKS PAR SPOYTSYL,1
MARKS PAR SPOYSYL,1
HEW MAYES OF PR GEO,1
HN AYLETT OF KING WM,1
N CHAMNIS OF PR GEO,1
E RUSSELL OF PR GEO,1
T MARY PAR CAROLINE,1
