characters,words,unique_words,lines,label,oem,psm
21882,3931,1546,629,oem1_psm3,1,3
21882,3931,1546,629,oem3_psm3,3,3
21702,3951,1611,342,oem1_psm4,1,4
21702,3951,1611,342,oem3_psm4,3,4
21663,3957,1651,341,oem3_psm6,3,6
21663,3957,1651,341,oem1_psm6,1,6
