model,cost_per_1k,mean_error_km
o3-2025-04-16,127.46,23.39
chatgpt-4o-latest,1.05,27.93
gpt-4.1-2025-04-14,3.49,32.87
o4-mini-2025-04-16,10.69,39.65
gpt-3.5-turbo,0.10,43.05
o3-mini-2025-01-31,14.15,50.25
human-gis,3255.81,71.40
stanford-ner,0.00,79.02
